"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","found","day","time","morning","feel","dinner","friend","watched","finally","walk"
"2","bought","son","family","dog","moment","birthday","job","played","finished","nice"
"3","received","daughter","enjoyed","night","life","wife","talked","game","started","beautiful"
"4","car","event","visit","hours","happiness","husband","called","favorite","completed","park"
"5","money","school","house","love","people","surprise","met","movie","weeks","weather"
"6","shopping","told","home","home","makes","lunch","phone","won","book","started"
"7","purchased","college","day","cat","person","food","sister","fun","ive","drive"
"8","buy","class","spend","sleep","live","eat","party","video","helped","rain"
"9","free","excited","brother","run","love","ate","baby","night","project","taking"
"10","store","mother","trip","cleaned","positive","celebrated","meet","team","read","bike"
"11","pay","smile","weekend","laugh","experience","mom","girl","girlfriend","hard","ride"
"12","card","graduation","kids","couple","world","gift","promotion","tickets","passed","planted"
"13","expected","parents","spent","woke","joy","cooked","nice","song","successfully","stopped"
"14","online","child","planned","coffee","share","delicious","office","listening","managed","garden"
"15","paid","proud","moved","didnt","study","restaurant","company","music","exam","decided"
"16","saved","children","vacation","relax","change","dad","coworker","funny","boss","travel"
"17","fixed","special","summer","husband","wonderful","girlfriend","wedding","season","lost","picked"
"18","mturk","accepted","ice","bed","dream","mother","close","win","goal","city"
"19","mail","care","cream","drink","pleasant","date","havent","hit","waiting","flowers"
"20","dollars","students","stay","minutes","emotional","brought","offer","nephew","results","training"
